"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Me gusta","Veces que se compartió",Respuestas,"Clics en el enlace",Navegación,"Visitas al perfil","Toques en stickers",Seguimientos
18019813643304400,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2024 11:31",,"Historia de Instagram",,Total,677,651,6,1,0,,735,1,,
18024764243580606,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/25/2024 15:26",,"Historia de Instagram",,Total,1351,1207,10,0,1,,985,2,,
17867044416237571,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2024 15:27",,"Historia de Instagram",,Total,1595,1378,7,1,0,,1003,,2,
18037479562989569,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2024 15:29",,"Historia de Instagram",,Total,850,820,8,1,0,,968,1,4,
17925636602865750,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2024 15:30",,"Historia de Instagram",,Total,905,841,5,1,0,,990,,9,
18014031716355080,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/25/2024 15:31",,"Historia de Instagram",,Total,828,795,7,2,0,,980,,,
17873254800198832,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@camaratulua  Con estos espacios, se promueve el desarrollo del agroturismo y fortalecemos la economía local con muestras empresariales y ruedas de negocios",15,"10/25/2024 15:47",,"Historia de Instagram",,Total,1629,1372,9,1,0,,990,,,
18056827315828073,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,9,"10/25/2024 15:51",,"Historia de Instagram",,Total,832,803,8,1,0,,952,,,
18045216755024013,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/26/2024 07:21",,"Historia de Instagram",,Total,1207,1143,12,1,2,,1358,3,,
18271773610216705,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"10/26/2024 07:39",,"Historia de Instagram",,Total,1154,1117,15,1,2,,1171,1,,
18067569925715672,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡YA ABRIMOS NUESTRAS PUERTAS!🪄🤩 Ven ahora al",15,"10/26/2024 08:33",,"Historia de Instagram",,Total,1140,1079,14,0,0,,1369,2,,
18056223052804444,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡BIENVENIDOS! ¡NUESTROS NIÑOS Y NIÑAS YA ESTÁN LLEGANDO!🤩🪄",8,"10/26/2024 08:35",,"Historia de Instagram",,Total,1115,1068,15,0,0,,1073,,2,
18059980285772692,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","El mundo de la fantasía  Una aventura para todas las familias ¡TE ESPERAMOS!  # ParaSerFelices",11,"10/26/2024 08:36",,"Historia de Instagram",,Total,1104,1063,14,2,0,,1184,,,
18011986205640074,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Ven y conoce… El Mundo de Las Hadas",7,"10/26/2024 08:50",,"Historia de Instagram",,Total,1080,1049,16,2,2,,994,1,,
18356306182142395,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Temeroso Feliz Envidioso Furioso En la escala de @imdertulua",15,"10/26/2024 08:53",,"Historia de Instagram",,Total,1061,1016,10,1,0,,1274,,,
18035829089337057,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@zonaretro_online,15,"10/26/2024 09:58",,"Historia de Instagram",,Total,1034,1006,13,0,0,,1122,,,
18100540645415712,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,16,"10/26/2024 10:07",,"Historia de Instagram",,Total,1034,998,17,0,0,,1144,1,,
18064849423677071,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",#ParaSerFelices,15,"10/26/2024 11:19",,"Historia de Instagram",,Total,1011,987,20,3,0,,1185,1,,
18037183040007669,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 11:52",,"Historia de Instagram",,Total,1004,979,16,1,0,,1166,,,
18010028531454587,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 12:16",,"Historia de Instagram",,Total,1075,1010,12,0,0,,1134,,,
18056654959875982,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/26/2024 12:19",,"Historia de Instagram",,Total,971,948,21,0,0,,1140,,2,
17844962880324888,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,7,"10/26/2024 12:21",,"Historia de Instagram",,Total,960,928,10,0,0,,947,,,
18280495828245831,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡En Tuluá, la felicidad de nuestros niños brilla con luz propia! 🎉✨ #ParaSerFelices 💙🪄 @gustavovelezr",15,"10/26/2024 13:29",,"Historia de Instagram",,Total,2481,2222,27,0,0,,1094,2,,
18045955253050231,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 13:45",,"Historia de Instagram",,Total,932,907,9,1,0,,1009,1,2,
18072916837590318,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 13:46",,"Historia de Instagram",,Total,920,895,12,1,0,,959,,,
17852869131312652,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 13:49",,"Historia de Instagram",,Total,921,895,17,3,0,,1091,1,2,
18459665989065528,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","#ParaSerFelices  La fantasía continúa ✨🪄",15,"10/26/2024 15:08",,"Historia de Instagram",,Total,890,852,13,0,1,,1041,4,,
17999442437511960,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 16:52",,"Historia de Instagram",,Total,818,788,30,1,2,,960,1,10,
18089163019496891,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 16:53",,"Historia de Instagram",,Total,809,783,15,0,0,,951,3,29,
17974220408645242,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Gracias Tuluá!🤩",0,"10/26/2024 17:32",,"Historia de Instagram",,Total,795,763,10,0,0,,942,2,10,
18088730632496658,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Un día increíble Un día #ParaSerFelices",58,"10/26/2024 19:20",,"Historia de Instagram",,Total,756,728,16,0,1,,858,10,,
18136560295367059,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 21:14",,"Historia de Instagram",,Total,733,709,8,0,0,,844,1,,
18050553271786852,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 21:14",,"Historia de Instagram",,Total,723,695,7,0,0,,801,,,
18005155235663887,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 21:14",,"Historia de Instagram",,Total,713,695,8,0,0,,832,,17,
18055378906894650,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 21:14",,"Historia de Instagram",,Total,699,681,8,0,0,,809,,4,
18052021564926929,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 21:15",,"Historia de Instagram",,Total,696,681,8,0,0,,854,,2,
17946572888893180,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/26/2024 21:19",,"Historia de Instagram",,Total,689,669,7,1,0,,773,1,,
17922760412878866,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:11",,"Historia de Instagram",,Total,683,658,7,0,0,,688,,2,
18045344861098558,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:12",,"Historia de Instagram",,Total,678,657,6,0,0,,787,,2,
17949727385854462,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:13",,"Historia de Instagram",,Total,682,658,8,0,0,,819,,2,
18026614508421461,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:14",,"Historia de Instagram",,Total,670,647,8,3,0,,793,,8,
18029430845134017,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:14",,"Historia de Instagram",,Total,669,647,8,0,0,,798,1,27,
17915347812007915,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:15",,"Historia de Instagram",,Total,665,645,3,1,0,,772,,2,
18041595733914896,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:15",,"Historia de Instagram",,Total,664,643,3,0,0,,729,,20,
18031082600356984,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:15",,"Historia de Instagram",,Total,659,639,2,0,0,,755,,4,
17961100631817944,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/26/2024 22:16",,"Historia de Instagram",,Total,660,642,3,0,0,,732,,7,
