"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Clics en el enlace",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)"
964122119088454,100064720237286,"Alcaldía de Tuluá","¡La integridad de los tulueños es nuestra prioridad! 🚖✨

Desde el Departamento Administrativo de Movilidad y Seguridad Vial, seguimos comprometidos en ofrecer un servicio de transporte de calidad y seguro para todos los tulueños. Únete a la campaña #TaxiSeguroTulua. Juntos, construimos un futuro más seguro. 💙🙌🏽 #YosoyTaxiSeguro #ParaSerFelices #Taxi","¡La integridad de los tulueños es nuestra prioridad! 🚖✨

Desde el Departamento Administrativo de Movilidad y Seguridad Vial, seguimos comprometidos en ofrecer un servicio de transporte de calidad y seguro para todos los tulueños. Únete a la campaña #TaxiSeguroTulua. Juntos, construimos un futuro más seguro. 💙🙌🏽 #YosoyTaxiSeguro #ParaSerFelices #Taxi",37,"09/30/2024 15:17",uploaded,https://www.facebook.com/reel/1987638101661926/,0,0,Reels,,,,,Total,1263,1177,53,39,2,12,0,,,,2220,14191.697,6.783,0,0,
1002515851915747,100064720237286,"Alcaldía de Tuluá","✨ ¡Te invitamos a conocer los Comedores Comunitarios de Tuluá! 🍽️ 

Este programa está pensado para ofrecer una alimentación balanceada a quienes no tienen acceso regular a comida en casa. Si lo necesitas, ¡no dudes en inscribirte y ser parte de este espacio de apoyo para todos! 💙🙌🏼 ¡Es un lugar pensado para los tulueños! #ParaSerFelices #ComedoresComunitarios",,0,"11/19/2024 14:02",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0XNocXGrDVJcCJmQbJ1KfDFmKrSUKH4hni5wKatTioTLi44PZhNd6RRudpWtUK7C4l,0,0,Fotos,,,,,Total,1977,1977,24,17,0,7,100,17,83,,,,,,,
1001823988651600,100064720237286,"Alcaldía de Tuluá","¡Trabajamos con Hechos!✅🙌🏼

Después de años de problemas de malos olores causados por daños en el alcantarillado, y de denuncias de los ciudadanos ante esta situación, hoy, gracias al esfuerzo conjunto de la Administración Municipal del alcalde Gustavo Vélez con otras entidades, este sector está siendo completamente renovado para que los tulueños disfruten de un espacio más limpio, seguro y cómodo #ParaSerFelices 💙 💧✨","¡Trabajamos con Hechos!✅🙌🏼

Después de años de problemas de malos olores causados por daños en el alcantarillado, y de denuncias de los ciudadanos ante esta situación, hoy, gracias al esfuerzo conjunto de la Administración Municipal del alcalde Gustavo Vélez con otras entidades, este sector está siendo completamente renovado para que los tulueños disfruten de un espacio más limpio, seguro y cómodo #ParaSerFelices 💙 💧✨",50,"11/18/2024 15:01",uploaded,https://www.facebook.com/reel/582442400818977/,1,0,Reels,,,,,Total,468,468,46,36,3,7,0,,,,826,8275.646,11.019,0,0,
1001658645334801,100064720237286,"Alcaldía de Tuluá","¡Así cerramos un fin de semana lleno de experiencias inolvidables! 🙌🏽✨

La Media Maratón Tuluá nos unió en cada paso, latiendo al ritmo del orgullo que sentimos de ser tulueños. 💙💪

Gracias Tuluá, por mostrar al mundo la fuerza de nuestra comunidad. Este es solo el comienzo, porque pronto traeremos más eventos que harán brillar a nuestro municipio #ParaSerFelices 🌟🏅","¡Así cerramos un fin de semana lleno de experiencias inolvidables! 🙌🏽✨

La Media Maratón Tuluá nos unió en cada paso, latiendo al ritmo del orgullo que sentimos de ser tulueños. 💙💪

Gracias Tuluá, por mostrar al mundo la fuerza de nuestra comunidad. Este es solo el comienzo, porque pronto traeremos más eventos que harán brillar a nuestro municipio #ParaSerFelices 🌟🏅",85,"11/18/2024 09:02",mixed,https://www.facebook.com/reel/463191689808242/,1,0,Reels,,,,,Total,537,537,38,27,2,9,0,,,,833,7159.894,9.262,0,0,
1001634502003882,100064720237286,"Alcaldía de Tuluá","Alcaldía de Tuluá actualizó su foto de portada.",,0,"11/18/2024 08:23",N/A,https://www.facebook.com/photo.php?fbid=1001634502003882&set=a.404265015074170&type=3,0,0,Fotos,,,,,Total,0,0,1,1,0,0,0,,,,,,,,,
1001036368730362,100064720237286,"Alcaldía de Tuluá","¡Gracias Tuluá, hoy brillaste! 🙌🏽🤩💫

Nuestra ciudad se unió en un solo aliento en la Media Maratón Tuluá, un evento que latió con más de 2200 corazones llenos de resiliencia, amor y respeto 💙💪.
¡Gracias Tuluá!, por demostrar una vez más que juntos podemos lograr grandes cosas🙌🏽

La @mediamaratontulua es más que un evento deportivo, es una celebración de la unión y el espíritu de nuestra comunidad 🏆👏.

#AccionesParaSerFelices #mmt",,0,"11/17/2024 12:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02QJwMPSRstVG2YDTLY5LfoqCNbDcJ8b4gyCyRSuZQfarHuZgabHBps7xG3icDftykl,0,0,Fotos,,,,,Total,6301,6233,235,200,9,26,2137,423,1714,,,,,,,
1000971225403543,100064720237286,"Alcaldía de Tuluá","Así se vivió la ExpoFeria de la Media Maratón Tuluá 🏃‍♂️✨ Un evento espectacular lleno de energía, cultura runner y mucho talento local. 🏅🔥

Con diferentes stands de emprendedores, marcas deportivas y todo lo relacionado con el mundo runner, ¡Tuluá brilló este fin de semana! 💥🙌 ¡Y esto es solo el comienzo! 🚀 #ParaSerFelices #MediaMaratónTuluá #PorTuluáCorremosTodos 💙","Así se vivió la ExpoFeria de la Media Maratón Tuluá 🏃‍♂️✨ Un evento espectacular lleno de energía, cultura runner y mucho talento local. 🏅🔥

Con diferentes stands de emprendedores, marcas deportivas y todo lo relacionado con el mundo runner, ¡Tuluá brilló este fin de semana! 💥🙌 ¡Y esto es solo el comienzo! 🚀 #ParaSerFelices #MediaMaratónTuluá #PorTuluáCorremosTodos 💙",103,"11/17/2024 10:00",uploaded,https://www.facebook.com/reel/486760213732010/,1,0,Reels,,,,,Total,1456,1436,187,127,49,11,0,,,,2672,33617.641,13.88,0,0,
1000850228748976,100064720237286,"Alcaldía de Tuluá","¡La Media Maratón Tuluá es todo un éxito! 🎉🏃‍♀️🏃‍♂️ 

¡Un evento increíble que unió a nuestra gente y recibió a corredores de todo el país! 🙌💙 Gracias a todos los que hacen parte de este gran día. Es un honor ver a tantas personas disfrutando del deporte en nuestro municipio. 🏅

Y seguimos con la energía al máximo 💥💪, ahora en la premiación  en el Coliseo de Ferias Manuel Victoria Rojas. ¡Tuluá está viva con el deporte! 🚀🌟

#MediaMaratónTuluá #ParaSerFelices #PorTuluáCorremosTodos","¡La Media Maratón Tuluá es todo un éxito! 🎉🏃‍♀️🏃‍♂️ 

¡Un evento increíble que unió a nuestra gente y recibió a corredores de todo el país! 🙌💙 Gracias a todos los que hacen parte de este gran día. Es un honor ver a tantas personas disfrutando del deporte en nuestro municipio. 🏅

Y seguimos con la energía al máximo 💥💪, ahora en la premiación  en el Coliseo de Ferias Manuel Victoria Rojas. ¡Tuluá está viva con el deporte! 🚀🌟

#MediaMaratónTuluá #ParaSerFelices #PorTuluáCorremosTodos",59,"11/17/2024 07:17",uploaded,https://www.facebook.com/reel/2103345646750192/,1,0,Reels,,,,,Total,1084,1061,134,107,15,12,0,,,,2280,22911.429,11.264,0,0,
1000399978794001,100064720237286,"Alcaldía de Tuluá","¡Todos juntos por Tuluá! ✨🧹🖌️. 

Hoy todos nos unimos para poner nuestro municipio impecable, ¡y con el corazón lleno de orgullo! 💚

Desde barrios hasta parques, pasamos por cada rincón, dejando todo listo para recibir a los miles de participantes de la Media Maratón Tuluá 🏃‍♂️🏃‍♀️. ¡Un evento que pondrá a nuestro municipio en el mapa! 🌍

¡Sigamos trabajando juntos para hacer de Tuluá un lugar más limpio, ordenado #ParaSerFelices! 💪🌱","¡Todos juntos por Tuluá! ✨🧹🖌️. 

Hoy todos nos unimos para poner nuestro municipio impecable, ¡y con el corazón lleno de orgullo! 💚

Desde barrios hasta parques, pasamos por cada rincón, dejando todo listo para recibir a los miles de participantes de la Media Maratón Tuluá 🏃‍♂️🏃‍♀️. ¡Un evento que pondrá a nuestro municipio en el mapa! 🌍

¡Sigamos trabajando juntos para hacer de Tuluá un lugar más limpio, ordenado #ParaSerFelices! 💪🌱",54,"11/16/2024 16:42",N/A,https://www.facebook.com/reel/1797480700658229/,1,0,Reels,,,,,Total,657,643,45,39,3,3,0,,,,777,7232.509,10.391,0,0,
1000341755466490,100064720237286,"Alcaldía de Tuluá","Revive en nuestro resumen “45 segundos #ParaSerFelices”, las noticias más importantes de la semana.✅🙌🏼","Revive en nuestro resumen “45 segundos #ParaSerFelices”, las noticias más importantes de la semana.✅🙌🏼",69,"11/16/2024 14:15",uploaded,https://www.facebook.com/reel/911740437229349/,1,0,Reels,,,,,Total,524,508,43,37,2,4,0,,,,693,6212.078,9.767,0,0,
