Registro,Dispositivo,Año de Nacimiento del encuestado,¿Conoce qué hace la institución INFITULUA?,¿Cuáles de estos servicios ha utilizado? ,¿Cómo calificaría los servicios de Infitulua si los ha utilizado recientemente?,Duración
2024-05-23 13:42:57,phone,17 03 1966,"Más o menos, pero no lo sé todo.",Cliente de Mercaplaza,No he utilizado los servicios,03:08
2024-05-23 13:12:16,phone,1997,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:46
2024-05-23 12:33:26,phone,1956,"No, no conozco esta institución","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",No he utilizado los servicios,01:16
2024-05-23 11:48:03,phone,04/14/1961,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,02:16
2024-05-23 11:44:17,phone,1956,"Más o menos, pero no lo sé todo.",Ninguno,Buenos,51:01
2024-05-23 11:34:09,phone,1984,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de Urbanización Terranova, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,00:26
2024-05-23 11:32:46,phone,1984,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Pésimos,01:05
2024-05-23 11:07:17,phone,1999,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Regulares,00:47
2024-05-23 11:00:40,phone,1972,"Sé que existe, pero no sé qué hace",Cliente de La Galeria,No he utilizado los servicios,00:42
2024-05-23 08:41:02,phone,1989,"Más o menos, pero no lo sé todo.",Ninguno,No he utilizado los servicios,00:46
2024-05-23 08:14:14,phone,1989,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Buenos,00:49
2024-05-23 07:04:10,phone,Abril,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,01:33
2024-05-23 00:43:53,phone,1954,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Regulares,02:33
2024-05-23 00:22:29,phone,1990,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Buenos,00:37
2024-05-23 00:21:16,phone,1984,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Buenos,01:20
2024-05-23 00:12:49,phone,1980,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Urbanización Gualanday",Buenos,01:25
2024-05-23 00:00:33,phone,28-11-92,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria",Buenos,01:27
2024-05-22 23:51:32,phone,1973,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria",Muy buenos,01:16
2024-05-22 23:49:22,phone,1962,"Si, lo sé muy bien","Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Muy buenos,01:08
2024-05-22 23:41:42,phone,86,"Si, lo sé muy bien",Cliente del Bicentenario,Regulares,01:31
2024-05-22 22:47:35,phone,02-02-1983,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,01:13
2024-05-22 22:43:58,phone,17 05 68,"Más o menos, pero no lo sé todo.",Cliente de Urbanización Gualanday,Malos,01:01
2024-05-22 22:15:30,phone,1977,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Pésimos,00:51
2024-05-22 21:16:49,phone,1987,"No, no conozco esta institución",Cliente nueva Terminal de Transportes,No he utilizado los servicios,01:31
2024-05-22 21:15:46,phone,16/04/1985,"Más o menos, pero no lo sé todo.",Cliente de Urbanización Terranova,Regulares,01:47
2024-05-22 21:08:37,phone,1971,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,00:50
2024-05-22 20:16:37,phone,1970,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Regulares,00:38
2024-05-22 19:59:14,phone,1989,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Muy buenos,00:34
2024-05-22 18:40:28,phone,30/09/1970,"Más o menos, pero no lo sé todo.",Ninguno,No he utilizado los servicios,00:53
2024-05-22 17:28:41,phone,1987,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Muy buenos,01:13
2024-05-22 15:42:48,phone,1953,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Regulares,01:03
2024-05-22 15:26:29,phone,1967,"Si, lo sé muy bien",Cliente de Urbanización Terranova,Regulares,00:49
2024-05-22 15:26:02,phone,30 6 1958,"Si, lo sé muy bien",Ninguno,No he utilizado los servicios,01:19
2024-05-22 14:59:00,phone,1967,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",No he utilizado los servicios,00:47
2024-05-22 14:22:06,phone,1978,"Sé que existe, pero no sé qué hace",Ninguno,No he utilizado los servicios,00:44
2024-05-22 14:07:12,phone,1953,"Sé que existe, pero no sé qué hace","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",No he utilizado los servicios,01:55
2024-05-22 13:51:39,phone,1994,"Más o menos, pero no lo sé todo.","Cliente del Bicentenario, Cliente de La Galeria",Pésimos,00:48
2024-05-22 13:49:35,phone,1992,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Regulares,00:45
2024-05-22 12:33:40,phone,1949,"Sé que existe, pero no sé qué hace",Cliente nueva Terminal de Transportes,No he utilizado los servicios,01:08
2024-05-11 02:30:51,phone,1981,"Más o menos, pero no lo sé todo.",Ninguno,No he utilizado los servicios,00:48
2024-05-11 00:35:48,phone,1969,"Más o menos, pero no lo sé todo.",Cliente nueva Terminal de Transportes,Muy buenos,01:11
2024-05-10 23:46:46,phone,1978,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de La Galeria",No he utilizado los servicios,01:03
2024-05-10 23:36:25,phone,1987,"Si, lo sé muy bien","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de Mercaplaza, Cliente de La Galeria",No he utilizado los servicios,00:50
2024-05-10 22:59:17,phone,1968,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Buenos,01:45
2024-05-10 19:13:18,phone,1979,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente de La Galeria",Buenos,00:50
2024-05-10 19:04:03,phone,1973,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria, Cliente Nuevo Centro Comercial Pabellón",Regulares,03:16
2024-05-10 19:00:59,phone,2001,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Malos,00:30
2024-05-10 14:20:29,phone,2002,"Más o menos, pero no lo sé todo.","Cliente nueva Terminal de Transportes, Cliente del Bicentenario",Regulares,00:46
2024-05-10 11:30:05,phone,2005,"No, no conozco esta institución","Cliente nueva Terminal de Transportes, Cliente del Bicentenario, Cliente de La Galeria",Buenos,00:53
2024-05-10 09:57:01,phone,3 de abril  1999,"Si, lo sé muy bien",Cliente nueva Terminal de Transportes,Muy buenos,01:17
2024-05-09 23:48:47,phone,1969,"Si, lo sé muy bien",Ninguno,No he utilizado los servicios,00:55
