"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Ingresos aproximados por monetización de contenido"
1205444641584034,100063555277597,"Juan Camilo Velez Londoño","La reforma qué el Gobierno propuso se cayó👎🏼. Sus cambios solo traerían: más informalidad, menos oportunidades, en un país donde emprender o contratar es cada vez más difícil.

¿Quién gana con esto? Porque los trabajadores y empresarios seguro que no… Déjame tu opinión en los comentarios.⤵️

#reforma #reformalaboral #politica #noticias #Colombia #VengaLeDigo","La reforma qué el Gobierno propuso se cayó👎🏼. Sus cambios solo traerían: más informalidad, menos oportunidades, en un país donde emprender o contratar es cada vez más difícil.

¿Quién gana con esto? Porque los trabajadores y empresarios seguro que no… Déjame tu opinión en los comentarios.⤵️

#reforma #reformalaboral #politica #noticias #Colombia #VengaLeDigo",112,"03/18/2025 17:30",uploaded,https://www.facebook.com/reel/640214398819842/,1,0,Reels,,,,,Total,1869,714,125,82,25,18,0,,,,43755.233,27.109,0,0.01
1204343198360845,100063555277597,"Juan Camilo Velez Londoño","🫵🏼 No se trata solo de llegar, se trata de llegar para transformar, para construir un país donde la clase media, los emprendedores y las familias trabajadoras tengan oportunidades reales.🇨🇴 ¡Es momento de renovar la política con hechos y no solo palabras! 🙌🏻

 #CambioReal #TransformemosJuntos
#colombia🇨🇴 #JuiciosoONo #gobierno #politica #VengaLeDigo #SeLoVoyADecir #estado","🫵🏼 No se trata solo de llegar, se trata de llegar para transformar, para construir un país donde la clase media, los emprendedores y las familias trabajadoras tengan oportunidades reales.🇨🇴 ¡Es momento de renovar la política con hechos y no solo palabras! 🙌🏻

 #CambioReal #TransformemosJuntos
#colombia🇨🇴 #JuiciosoONo #gobierno #politica #VengaLeDigo #SeLoVoyADecir #estado",39,"03/17/2025 10:27",mixed,https://www.facebook.com/reel/985835617025533/,1,0,Reels,,,,,Total,4225,1412,303,46,4,253,0,,,,12842.119,3.3,0,0.02
1258417129620118,100063555277597,"Juan Camilo Velez Londoño","Mientras otros solo llegan en elecciones, yo  llevo años sembrando empleo, crecimiento y oportunidades y esta es la razón por la que creen en mí en el Eje Cafetero…🫵
No importa de dónde vienes. Lo que importa es lo que haces.🤝

#JuanCamiloVélez #LaUniónHaceLaFuerza #EjeCafeteroCree #VamosParaELSenado","Mientras otros solo llegan en elecciones, yo  llevo años sembrando empleo, crecimiento y oportunidades y esta es la razón por la que creen en mí en el Eje Cafetero…🫵
No importa de dónde vienes. Lo que importa es lo que haces.🤝

#JuanCamiloVélez #LaUniónHaceLaFuerza #EjeCafeteroCree #VamosParaELSenado",67,"05/16/2025 16:21",N/A,https://www.facebook.com/reel/1893370264751042/,1,0,Reels,,,,,Total,4170,969,219,76,15,128,0,,,,28066.876,7.069,0,0.03
1257546799707151,100063555277597,"Juan Camilo Velez Londoño","Leé la nota completa en siguiente link o haz clic en el link de la BIO📌
https://occidente.co/politica/graffiti/juan-camilo-velez-conservador-valle-senado-2026

#LaUniónHaceLaFuerza #VamosParaElSenado #juancamilovélez","Leé la nota completa en siguiente link o haz clic en el link de la BIO📌
https://occidente.co/politica/graffiti/juan-camilo-velez-conservador-valle-senado-2026

#LaUniónHaceLaFuerza #VamosParaElSenado #juancamilovélez",15,"05/15/2025 11:32",N/A,https://www.facebook.com/JuanCamiloVelezL/videos/1693437515385486/,0,0,Videos,,,,,Total,6222,4578,360,155,44,161,253,230,,23,29990.231,5.706,0,0.02
1256208609840970,100063555277597,"Juan Camilo Velez Londoño","Mi compromiso es claro: fortalecer los territorios desde la raíz. Creo en procesos productivos que nacen de la cooperación, el mutualismo y una gestión estatal que responda. Cuando las regiones crecen, Colombia avanza. 🇨🇴

LaUniónHaceLaFuerza #VamosParaElSenado #JuanCamiloVélez","Mi compromiso es claro: fortalecer los territorios desde la raíz. Creo en procesos productivos que nacen de la cooperación, el mutualismo y una gestión estatal que responda. Cuando las regiones crecen, Colombia avanza. 🇨🇴

LaUniónHaceLaFuerza #VamosParaElSenado #JuanCamiloVélez",50,"05/13/2025 17:06",uploaded,https://www.facebook.com/reel/1233514731760149/,1,0,Reels,,,,,Total,1062,457,100,70,10,20,0,,,,10853.422,11.376,0,0
1255500496578448,100063555277597,"Juan Camilo Velez Londoño","El progreso no se impone desde un escritorio en Bogotá, se construye desde cada rincón del país. El verdadero papel del Estado no es reemplazar el esfuerzo de la gente, sino garantizar las condiciones para que los territorios puedan avanzar con dignidad, seguridad y oportunidades reales. Cuando hay voluntad, inversión bien orientada y liderazgo local, el desarrollo sí es posible.🫱🏻‍🫲🏼

Hagámoslo juntos 🇨🇴

#LaUniónHaceLaFuerza #VamosParaElSenado #JuanCamiloVélez","El progreso no se impone desde un escritorio en Bogotá, se construye desde cada rincón del país. El verdadero papel del Estado no es reemplazar el esfuerzo de la gente, sino garantizar las condiciones para que los territorios puedan avanzar con dignidad, seguridad y oportunidades reales. Cuando hay voluntad, inversión bien orientada y liderazgo local, el desarrollo sí es posible.🫱🏻‍🫲🏼

Hagámoslo juntos 🇨🇴

#LaUniónHaceLaFuerza #VamosParaElSenado #JuanCamiloVélez",74,"05/12/2025 17:57",N/A,https://www.facebook.com/reel/588676360904186/,1,0,Reels,,,,,Total,491,261,36,24,6,6,0,,,,7039.162,15.747,0,0
1253068110155020,100063555277597,"Juan Camilo Velez Londoño","La gente no aguanta más engaños, no podemos solucionar problemas materiales con discursos y soluciones ideológicas, yo soy un trabajador y estoy acostumbrado a encontrar soluciones reales.✌️

Hagámoslo juntos 🇨🇴

#LaUniónHaceLaFuerza #VamosParaElSenado #juancamilovelez","La gente no aguanta más engaños, no podemos solucionar problemas materiales con discursos y soluciones ideológicas, yo soy un trabajador y estoy acostumbrado a encontrar soluciones reales.✌️

Hagámoslo juntos 🇨🇴

#LaUniónHaceLaFuerza #VamosParaElSenado #juancamilovelez",41,"05/09/2025 10:34",uploaded,https://www.facebook.com/reel/3082379541918860/,1,0,Reels,,,,,Total,2340,638,188,130,32,26,0,,,,16565.582,7.679,0,0.01
1251722783622886,100063555277597,"Juan Camilo Velez Londoño","El Senado ha archivado el proyecto que buscaba permitir el cambio de partido sin perder la curul. Esta decisión protege la coherencia política y evita que se debiliten los partidos por intereses personales. Es momento de fortalecer nuestras instituciones y exigir compromiso real de nuestros representantes. 💪🇨🇴
Es hora de tomar decisiones en las urnas 🫵🏼

#colombia #politica #ley #congreso #transfugismo","El Senado ha archivado el proyecto que buscaba permitir el cambio de partido sin perder la curul. Esta decisión protege la coherencia política y evita que se debiliten los partidos por intereses personales. Es momento de fortalecer nuestras instituciones y exigir compromiso real de nuestros representantes. 💪🇨🇴
Es hora de tomar decisiones en las urnas 🫵🏼

#colombia #politica #ley #congreso #transfugismo",89,"05/07/2025 16:31",auto,https://www.facebook.com/reel/1359391328613455/,1,0,Reels,,,,,Total,4305,1028,295,105,21,169,0,,,,37980.185,9.308,0,0.03
1241721664622998,100063555277597,"Juan Camilo Velez Londoño","Nos quedamos callados mucho tiempo. Nos acostumbramos a ver cómo otros deciden por nosotros, cómo los mismos de siempre se reparten el poder sin mirar a la gente.❌
Pero eso se acabó. Es hora de alzar la voz, de defender lo que creemos, de hacer valer lo que somos. Es hora de hacernos escuchar. No desde el odio, sino desde el sentido común, desde el trabajo real, desde la verdad.
 ¡Vamos a cambiar esto, juntos!🇨🇴

Comparte este video y súmate a esta transformación 🫱🏻‍🫲🏼

#colombia #politica #territorios #launiónhacelafuerza","Nos quedamos callados mucho tiempo. Nos acostumbramos a ver cómo otros deciden por nosotros, cómo los mismos de siempre se reparten el poder sin mirar a la gente.❌
Pero eso se acabó. Es hora de alzar la voz, de defender lo que creemos, de hacer valer lo que somos. Es hora de hacernos escuchar. No desde el odio, sino desde el sentido común, desde el trabajo real, desde la verdad.
 ¡Vamos a cambiar esto, juntos!🇨🇴

Comparte este video y súmate a esta transformación 🫱🏻‍🫲🏼

#colombia #politica #territorios #launiónhacelafuerza",99,"04/25/2025 16:55",mixed,https://www.facebook.com/reel/1377703919923293/,1,0,Reels,,,,,Total,70700,87978,189,105,16,68,0,,,,140822.546,2.058,0,0
1239970591464772,100063555277597,"Juan Camilo Velez Londoño","Es hora de hacernos escuchar 🙌🏻","Nos quedamos callados mucho tiempo. Nos acostumbramos a ver cómo otros deciden por nosotros, cómo los mismos de siempre se reparten el poder sin mirar a la gente.❌
Pero eso se acabó. Es hora de alzar la voz, de defender lo que creemos, de hacer valer lo que somos. Es hora de hacernos escuchar. No desde el odio, sino desde el sentido común, desde el trabajo real, desde la verdad.
 ¡Vamos a cambiar esto, juntos!🇨🇴

Comparte este video y súmate a esta transformación 🫱🏻‍🫲🏼

#colombia #politica #territorios #launiónhacelafuerza",99,"04/23/2025 17:32",N/A,https://www.facebook.com/JuanCamiloVelezL/videos/688235040327833/,0,0,Videos,,,,,Total,1335,1108,86,41,4,41,22,20,,2,7490.664,6.05,0,0.01
