"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Comentarios,"Veces que se guardó",Seguimientos
17922018105062946,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","La reforma qué el Gobierno propuso se cayó👎🏼. Sus cambios solo traerían: más informalidad, menos oportunidades, en un país donde emprender o contratar es cada vez más difícil.

¿Quién gana con esto? Porque los trabajadores y empresarios seguro que no… Déjame tu opinión en los comentarios.⤵️

#reforma #reformalaboral #politica #noticias #Colombia #VengaLeDigo",111,"03/18/2025 17:30",https://www.instagram.com/reel/DHXE359tUjP/,"Reel de Instagram",,Total,2621,1591,78,3,8,5,5
18079235227669436,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","🫵🏼 No se trata solo de llegar, se trata de llegar para transformar, para construir un país donde la clase media, los emprendedores y las familias trabajadoras tengan oportunidades reales.🇨🇴 ¡Es momento de renovar la política con hechos y no solo palabras! 🙌🏻

 #CambioReal #TransformemosJuntos
#colombia🇨🇴 #JuiciosoONo #gobierno #politica #VengaLeDigo #SeLoVoyADecir #estado",38,"03/17/2025 10:27",https://www.instagram.com/reel/DHTuVpPAOrP/,"Reel de Instagram",,Total,864,649,23,1,0,0,1
18251123632304601,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Mientras otros solo llegan en elecciones, yo  llevo años sembrando empleo, crecimiento y oportunidades y esta es la razón por la que creen en mí en el Eje Cafetero…🫵
No importa de dónde vienes. Lo que importa es lo que haces.🤝

#JuanCamiloVélez #LaUniónHaceLaFuerza #EjeCafeteroCree #VamosParaELSenado",66,"05/16/2025 16:21",https://www.instagram.com/reel/DJu463SOfVW/,"Reel de Instagram",,Total,936,572,36,0,2,1,1
18080920573686959,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Leé la nota completa en siguiente link o haz clic en el link de la BIO📌
https://occidente.co/politica/graffiti/juan-camilo-velez-conservador-valle-senado-2026

#LaUniónHaceLaFuerza #VamosParaElSenado #juancamilovélez",0,"05/15/2025 11:32",https://www.instagram.com/p/DJrzTP4OtH0/,"Imagen de Instagram",,Total,2253,1560,82,7,2,2,2
18023186900495699,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Mi compromiso es claro: fortalecer los territorios desde la raíz. Creo en procesos productivos que nacen de la cooperación, el mutualismo y una gestión estatal que responda. Cuando las regiones crecen, Colombia avanza. 🇨🇴

LaUniónHaceLaFuerza #VamosParaElSenado #JuanCamiloVélez",50,"05/13/2025 17:06",https://www.instagram.com/reel/DJnPMT7uKAe/,"Reel de Instagram",,Total,6462,4283,44,8,18,2,4
18116649580465409,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","El progreso no se impone desde un escritorio en Bogotá, se construye desde cada rincón del país. El verdadero papel del Estado no es reemplazar el esfuerzo de la gente, sino garantizar las condiciones para que los territorios puedan avanzar con dignidad, seguridad y oportunidades reales. Cuando hay voluntad, inversión bien orientada y liderazgo local, el desarrollo sí es posible.🫱🏻‍🫲🏼

Hagámoslo juntos 🇨🇴

#LaUniónHaceLaFuerza #VamosParaElSenado #JuanCamiloVélez",73,"05/12/2025 17:57",https://www.instagram.com/reel/DJkwPx9unK1/,"Reel de Instagram",,Total,1111,682,30,0,0,1,
18063308579078458,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","La gente no aguanta más engaños, no podemos solucionar problemas materiales con discursos y soluciones ideológicas, yo soy un trabajador y estoy acostumbrado a encontrar soluciones reales.✌️

Hagámoslo juntos 🇨🇴

#LaUniónHaceLaFuerza #VamosParaElSenado #juancamilovelez",40,"05/09/2025 10:34",https://www.instagram.com/reel/DJcPAypuz4H/,"Reel de Instagram",,Total,8245,5416,50,2,0,0,2
18094957201568738,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","El Senado ha archivado el proyecto que buscaba permitir el cambio de partido sin perder la curul. Esta decisión protege la coherencia política y evita que se debiliten los partidos por intereses personales. Es momento de fortalecer nuestras instituciones y exigir compromiso real de nuestros representantes. 💪🇨🇴
Es hora de tomar decisiones en las urnas 🫵🏼

#colombia #politica #ley #congreso #transfugismo",88,"05/07/2025 16:31",https://www.instagram.com/reel/DJXvAEzOP27/,"Reel de Instagram",,Total,1259,804,51,0,3,0,
18063350923843011,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Nos quedamos callados mucho tiempo. Nos acostumbramos a ver cómo otros deciden por nosotros, cómo los mismos de siempre se reparten el poder sin mirar a la gente.❌
Pero eso se acabó. Es hora de alzar la voz, de defender lo que creemos, de hacer valer lo que somos. Es hora de hacernos escuchar. No desde el odio, sino desde el sentido común, desde el trabajo real, desde la verdad.
 ¡Vamos a cambiar esto, juntos!🇨🇴

Comparte este video y súmate a esta transformación 🫱🏻‍🫲🏼

#colombia #politica #territorios #launiónhacelafuerza",98,"04/25/2025 16:55",https://www.instagram.com/reel/DI44G-duJGf/,"Reel de Instagram",,Total,3669,2976,61,1,13,0,4
17843663439469460,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Me preguntan constantemente cómo impactar a los jóvenes en cada una de las regiones… La respuesta está en la generación de oportunidades. Si impulsamos procesos productivos reales, conectados con el territorio, no solo generamos trabajo, creamos transformación 🇨🇴. Apostémosle al talento joven, a su energía y capacidad de transformar el país.
Comparte y sígueme ✅

Haz parte de la transformación. Juntos sembramos oportunidades para quienes más lo necesitan🫱🏻‍🫲🏼

#jovenes #empleo #trabajo #oportunidades #Colombia",70,"04/22/2025 18:39",https://www.instagram.com/reel/DIxUrq0ufb2/,"Reel de Instagram",,Total,3276,2237,53,4,9,6,2
