"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,"Me gusta","Veces que se compartió",Comentarios,"Veces que se guardó",Alcance,Seguimientos
17927505165041830,17841408098581658,democrazytvoficial,DemocrazyTv,"¡Habemus campaña ! Juan Camilo Velez Londoño este jueves en nuestro canal de YouTube DemocrazyTv 6:00pm @jucavelez",157,"04/03/2025 07:03",https://www.instagram.com/reel/DH_Kfh1OIB5/,"Reel de Instagram",,Total,1186,33,2,1,0,,
18051831749009978,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Las regiones necesitan más inversión, no más promesas. Mis propuestas son claras: bajar más recursos de la Nación a los territorios para generar dinamismo económico y fortalecer los procesos cooperativos. La transformación comienza desde lo local, con oportunidades reales para la gente. 🇨🇴🫱🏻‍🫲🏼

#cooperativismo #Colombia #economia #politica #departamentos",107,"04/03/2025 16:05",https://www.instagram.com/reel/DIAFXmoudiC/,"Reel de Instagram",,Total,1068,23,1,2,0,807,
18073347310833308,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Colombia no va a cambiar sola. Es hora de que tomemos las riendas, de que dejemos de esperar y empecemos a construir el país que merecemos. ¡La política no puede seguir siendo un juego de unos pocos, nos toca a todos!🇨🇴🫱🏻‍🫲🏼

💙 Súmate a esta causa. Porque #LaUniónHaceLaFuerza y juntos vamos a transformar nuestra realidad. ¡Vamos con toda!

#colombia🇨🇴 #politica #vengaledigo #juiciosoono #transformación #territorios",151,"04/07/2025 11:43",https://www.instagram.com/reel/DIJ9-LduNUY/,"Reel de Instagram",,Total,2056,20,1,4,0,1601,2
18057355016167088,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Durante años muchos decidimos no meternos en política… pero la política sí se metió con nosotros. Hoy no podemos quedarnos callados mientras una minoría elige el rumbo de todo un país. Es momento de despertar, ponerle el pecho a la brisa y participar. Construyamos territorio 🫱🏻‍🫲🏼🫵🏼

#colombia #departamentos #vota #elecciones #politica",54,"04/08/2025 16:18",https://www.instagram.com/reel/DINB1biOgNl/,"Reel de Instagram",,Total,5967,69,4,4,3,4487,4
18091762063511705,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Los politiqueros de siempre solo buscan poder y dinero, mientras el país se hunde. Dirigir el desarrollo de nuestras regiones desde el Estado, necesita a las personas idóneas para aportar a un mejor futuro. Es hora de sacar a los corruptos y trabajar por un país productivo y con oportunidades reales.

#colombia🇨🇴 #JuiciosoONo #politica #gobierno",59,"04/09/2025 16:10",https://www.instagram.com/reel/DIPmYroubwz/,"Reel de Instagram",,Total,1612,40,0,4,0,1353,1
17855478537361664,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Muchos me preguntan por el predial en Tuluá. Por eso hablo claro: no fue decisión de la alcaldía actual. El ajuste lo hizo Valle Avanza, el operador catastral autorizado desde la administración anterior. Entendemos el malestar, pero hay que hablar con la verdad.👆🏼

#tuluá #predial #respuesta #impuesto",98,"04/10/2025 16:31",https://www.instagram.com/reel/DISNQMkukWr/,"Reel de Instagram",,Total,2471,70,0,6,4,1507,2
18024854516473109,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Somos la generación que no se queda callada. El cambio empieza cuando decidimos participar. No esperes que otros decidan por ustedes: es hora de levantar la voz y construir el país que soñamos. ¡Nos toca a nosotros! 🇨🇴

#noticias #politica #gobierno #jovenes",130,"04/11/2025 18:42",https://www.instagram.com/reel/DIVBBOxONEN/,"Reel de Instagram",,Total,2375,60,0,4,3,1787,2
18035201405636841,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","El desarrollo no lo trae el Estado, lo construye la gente. Muchas veces estamos esperando que todo lo haga el gobierno, pero el verdadero cambio nace desde las ideas, el compromiso y la acción de quienes viven en los territorios. Desde el Congreso, mi compromiso es respaldar esas iniciativas que nacen desde abajo, fortalecerlas y darles el impulso que necesitan para transformar nuestras regiones 🇨🇴🙌🏻

#Colombia #territorios #Turismo #senado",143,"04/21/2025 10:16",https://www.instagram.com/reel/DIt3DuOOnCb/,"Reel de Instagram",,Total,1318,17,0,6,1,959,
17843663439469460,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Me preguntan constantemente cómo impactar a los jóvenes en cada una de las regiones… La respuesta está en la generación de oportunidades. Si impulsamos procesos productivos reales, conectados con el territorio, no solo generamos trabajo, creamos transformación 🇨🇴. Apostémosle al talento joven, a su energía y capacidad de transformar el país.
Comparte y sígueme ✅

Haz parte de la transformación. Juntos sembramos oportunidades para quienes más lo necesitan🫱🏻‍🫲🏼

#jovenes #empleo #trabajo #oportunidades #Colombia",70,"04/22/2025 18:39",https://www.instagram.com/reel/DIxUrq0ufb2/,"Reel de Instagram",,Total,3009,49,3,9,4,2068,2
18063350923843011,17841400776254025,jucavelez,"Juan Camilo Velez Londoño","Nos quedamos callados mucho tiempo. Nos acostumbramos a ver cómo otros deciden por nosotros, cómo los mismos de siempre se reparten el poder sin mirar a la gente.❌
Pero eso se acabó. Es hora de alzar la voz, de defender lo que creemos, de hacer valer lo que somos. Es hora de hacernos escuchar. No desde el odio, sino desde el sentido común, desde el trabajo real, desde la verdad.
 ¡Vamos a cambiar esto, juntos!🇨🇴

Comparte este video y súmate a esta transformación 🫱🏻‍🫲🏼

#colombia #politica #territorios #launiónhacelafuerza",98,"04/25/2025 16:55",https://www.instagram.com/reel/DI44G-duJGf/,"Reel de Instagram",,Total,3334,51,0,8,0,2674,4
