RAZON SOCIAL,DIR-COMERCIAL,BARRIO-COMERCIAL,MUN-COMERCIAL,TEL-COM-1,TEL-COM-2,TEL-COM-3,CIIU-1,CIIU-2,CIIU-3,CIIU-4,ACTIVIDAD
MONTALLANTAS Y VULCANIZADORA NENE,CORREGIMIENTO DE QUEBRADA NUEVA,,76895 - ZARZAL,3147510815,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIO DE VULCANIZADORA Y MONTALLANTAS.
LAVADERO GIRALDO,CL 25 13 57,00504 - PLAYAS,76834 - TULUA,3184653222,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAVADERO Y MANTENIMIENTO Y REPARACIóN DE VEHíCULOS AUTOMOTORES.
MITSUCAMPEROS TULUA S.A.S.,CR 28B  10A-52,00472 - SANTA RITA DEL RÍO,76834 - TULUA,2345353,3178312371,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
CENTRO SERVICOS Y REPUESTOS TULUA,CARRERA 30 NRO. 17-34,00470 - POPULAR,76834 - TULUA,2251550,3183852671,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES Y LA COMERCIALIZACION DE RESPUESTOS  PARTES Y ACCESORIOS PARA VEHICULOS.
CHARLYS MOTO RIOFRIO,CR 10 6 33,,76616 - RIOFRIO,3016460148,3044883079,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES. COMERCIO DE MOTOCICLETAS Y DE SUS PARTES  PIEZAS Y ACCESORIOS.
HIDRACAR TULUA,CARRERA 27 NO 20 24,00480 - TOMÁS URIBE,76834 - TULUA,3172553592,3134025488,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.
JR AUTOMOTRIZ,CL 17 30 41,00453 - ENTRE RIOS,76834 - TULUA,3166989394,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES.
TALLER Y ESTRUCTURAS AGUIRRE,CL 40 A 27 A 44,00487 - LA BASTILLA,76834 - TULUA,3166590132,,,C2511 ** Fabricacion de productos metalicos para uso estructural,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,Fabricacion de productos metalicos para uso estructural. Mantenimiento y reparacion de vehiculos automotores.
LAVADERO PUENTE NEGRO,CL 34 27 A 31,00481 - AVENIDA CALI,76834 - TULUA,3232929942,3146844334,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,,LAVADERO DE VEHICULOS PARQUEADERO. COMERCIO AL POR MENOR DE LUBRICANTES (ACEITES  GRASAS)  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHICULOS AUTOMOTORES
TECNOMOTRIZ ESPECIALIZADOS,MANZANA D CASA 20,00657 - URB. LA PAZ,76834 - TULUA,3182514182,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,Mantenimiento y reparacion de vehiculos automotores Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores
VULCANIZADORA LA HUELLA,TRANSVERSAL 12 NO. 25-124,00503 - MARANDUA,76834 - TULUA,3146670891,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,S9529 ** Mantenimiento y reparacion de otros efectos personales y enseres domesticos,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,VULCANIZADORA DE MOTOS  CARROS Y BICICLETAS  VENTA DE NEUMATICOS DE MOTOS Y BICICLETAS.
TECNICAR HF,K 30 23 34,00474 - VILLANUEVA,76834 - TULUA,3168501370,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES Y COMERCIO AL POR MENOR DE AUTOPARTES PARA VEHICULOS AUTOMOTORES
PINTUAUTOS TULUA,CR 30 16 69,00453 - ENTRE RIOS,76834 - TULUA,3174826321,3206417530,3167081785,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAMINA Y PINTURA EN GENERAL PARA TODA CLASE DE VEHICULOS  PINTURA EXTERIOR  DIFUMINADO  PORCELANIZADO  BRILLADA DE FAROLAS
TALLER VALENCIA CARS,Calle 11C Nro.  27C-59,00473 - URB. PEÑARANDA,76834 - TULUA,2332486,3104905301,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,Mantenimiento y reparacion de vehiculos automotores
